2026-05-15 12:17:08.773 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:11.072 | INFO     | services.hls_proxy | 🚀 [ProactiveRefresh] Prefetch nuovo segmento live: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1304.ts?disable_ssl=1
2026-05-15 12:17:11.074 | INFO     | services.hls_proxy | 🔄 [Prefetch] Avvio download anticipato: ...6JP53TE0kaeTek7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1304.ts?disable_ssl=1
2026-05-15 12:17:12.896 | INFO     | services.hls_proxy | ✅ [Prefetch] Segmento pronto in 1.82s (13530KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1304.ts?disable_ssl=1
2026-05-15 12:17:14.859 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:14.935 | INFO     | services.hls_proxy | 📄 HLS manifest detected: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:14.953 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:14.958 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1304.ts?disable_ssl=1
2026-05-15 12:17:14.959 | INFO     | services.hls_proxy | ⚡ [Prefetch HIT] Segmento servito da cache (13530KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1304.ts?disable_ssl=1
2026-05-15 12:17:21.347 | INFO     | services.hls_proxy | 🚀 [ProactiveRefresh] Prefetch nuovo segmento live: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1305.ts?disable_ssl=1
2026-05-15 12:17:21.349 | INFO     | services.hls_proxy | 🔄 [Prefetch] Avvio download anticipato: ...6JP53TE0kaeTek7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1305.ts?disable_ssl=1
2026-05-15 12:17:22.642 | INFO     | services.hls_proxy | ✅ [Prefetch] Segmento pronto in 1.29s (9736KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1305.ts?disable_ssl=1
2026-05-15 12:17:26.354 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:26.493 | INFO     | services.hls_proxy | 📄 HLS manifest detected: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:26.510 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:26.514 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1305.ts?disable_ssl=1
2026-05-15 12:17:26.515 | INFO     | services.hls_proxy | ⚡ [Prefetch HIT] Segmento servito da cache (9736KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1305.ts?disable_ssl=1
blocco
2026-05-15 12:17:37.305 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:37.312 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:37.434 | INFO     | services.hls_proxy | 📄 HLS manifest detected: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:39.410 | INFO     | services.hls_proxy | 🚀 [ProactiveRefresh] Prefetch nuovo segmento live: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1306.ts?disable_ssl=1
2026-05-15 12:17:39.412 | INFO     | services.hls_proxy | 🔄 [Prefetch] Avvio download anticipato: ...6JP53TE0kaeTek7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1306.ts?disable_ssl=1
2026-05-15 12:17:40.693 | INFO     | services.hls_proxy | ✅ [Prefetch] Segmento pronto in 1.28s (11951KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1306.ts?disable_ssl=1
2026-05-15 12:17:43.460 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:43.575 | INFO     | services.hls_proxy | 📄 HLS manifest detected: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:43.588 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1306.ts?disable_ssl=1
2026-05-15 12:17:43.589 | INFO     | services.hls_proxy | ⚡ [Prefetch HIT] Segmento servito da cache (11951KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1306.ts?disable_ssl=1
2026-05-15 12:17:43.608 | INFO     | services.hls_proxy | 📡 [Proxy Stream] BYPASS (Real IP) - Using session (direct) for: ...7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/index.m3u8?disable_ssl=1
2026-05-15 12:17:49.911 | INFO     | services.hls_proxy | 🚀 [ProactiveRefresh] Prefetch nuovo segmento live: ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1307.ts?disable_ssl=1
2026-05-15 12:17:49.913 | INFO     | services.hls_proxy | 🔄 [Prefetch] Avvio download anticipato: ...6JP53TE0kaeTek7l9S5S5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1307.ts?disable_ssl=1
2026-05-15 12:17:50.811 | INFO     | services.hls_proxy | ✅ [Prefetch] Segmento pronto in 0.90s (9086KB): ...5GNrcLitmp207pOT6zYTGNc6g/hls/6a06baac_1307.ts?disable_ssl=1
